"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/29/2023","12/29/2023","12/29/2023","","Transfer from Brokerage to Spending","XENT","","","($5.00)"
"12/28/2023","12/28/2023","12/28/2023","GS","Cash Div: R/D 2023-11-30 P/D 2023-12-28 - 0.2 shares at 2.75","CDIV","","","$0.55"
"12/28/2023","12/28/2023","1/2/2024","MSTR","MicroStrategy
CUSIP: 594972408","Buy","0.188278","$679.84","($128.00)"
"12/28/2023","12/28/2023","12/29/2023","TSLA","TSLA 12/29/2023 Put $260.00","STC","2","$2.75","$549.92"
"12/28/2023","12/28/2023","12/29/2023","PYPL","PYPL 12/29/2023 Call $62.00","STC","10","$1.02","$1,019.67"
"12/28/2023","12/28/2023","12/29/2023","MSTR","MSTR 12/29/2023 Call $690.00","BTO","1","$9.00","($900.03)"
"12/28/2023","12/28/2023","12/29/2023","TSLA","TSLA 12/29/2023 Put $260.00","BTO","1","$2.35","($235.03)"
"12/28/2023","12/28/2023","12/29/2023","TSLA","TSLA 12/29/2023 Put $260.00","BTO","1","$2.35","($235.03)"
"12/28/2023","12/28/2023","12/29/2023","ARM","ARM 12/29/2023 Call $72.00","STC","1","$3.20","$319.95"
"12/28/2023","12/28/2023","12/29/2023","MSTR","MSTR 12/29/2023 Call $650.00","BTO","1","$30.00","($3,000.03)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Call $17.00","BTO","1","$0.24","($24.03)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Call $17.00","BTO","29","$0.24","($696.87)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Call $17.00","BTO","20","$0.24","($480.60)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Put $17.00","STC","1","$0.20","$19.95"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Put $17.00","STC","48","$0.20","$958.43"
